Kali,No. 284,0,hip hop|neo soul|pop folk|chalga|power violence|world music|psychedelic trance|eurodance|techno|brutal death metal|reggae|heavy metal|electronic|female vocalist|psychedelic|latin|united states|raga|pop|folk|world|eurovision|ethnic|italy|folklore|balkan|slovak|bulgarian|tff rudolstadt|french|polish hip hop|eurosong|martinique|funk soul|french caribbean,0.399265149721,,0.0,601.99138000000005,128.999,598.32000000000005
Neil Sedaka,Superbird,0,brill building pop|soft rock|pop rock|doo-wop|teen pop|ballad|chanson|rock 'n roll|space age pop|cabaret|vocal jazz|rock|oldies|video game music|rockabilly|easy listening|pop|disco|reggae|classic rock|jazz|united states|alternative rock|singer-songwriter|vocal|male vocalist|60s|50s|soul|germany|american|new age|mellow|electronic|lounge|hardcore|classical|70s|classic|male|new york|piano,0.444025681011,classic pop and rock,0.0,256.99220000000003,159.184,249.38800000000001
Nicole C. Mullen,Shooby (Live Version),0,ccm|funk|soft rock|pop rock|ballad|art rock|nu metal|pop|hip hop|alternative rock|female vocalist|christmas music|adult contemporary|rock|singer-songwriter|gospel|christian|vocal|contemporary christian|song writer|electronic|instrumental|soul|holiday|worship music|united states|funk soul|inspirational|praise & worship|christian woman|christian pop|black gospel|contemporary gospel|gospel jams|gospel soul|r&b,0.439024561207,,0.0,237.16525999999999,104.039,237.16499999999999
Eden's Bridge,By My Spirit  (),0,celtic|religious music|christian rock|folk rock|progressive rock|folk|christian|worship music|ambient|new age|christmas music|roots|uplifting|spiritual|soothing|inspirational|celtic folk|holiday|celtic worship|celtic pop|hymns|iona|r&b,0.346683794514,,0.0,337.13587000000001,79.129999999999995,311.98899999999998
Eagles,I Don't Want To Hear Any More,2007,country rock|soft rock|southern rock|pop rock|folk rock|classic rock|ballad|easy listening|hard rock|blues-rock|oldies|rock|rockabilly|grunge|blues|70s|emo|progressive rock|male vocalist|country|pop|american|funk|alternative rock|80s|soundtrack|heavy metal|mellow|guitar|folk|jazz|acoustic|techno|hip hop|alternative|indie rock|electronic,0.681987760426,rock|folk rock|country rock|american|classic pop and rock,0.0,261.17178999999999,92.186000000000007,251.82599999999999
Edmundo Ros,Congo,0,samba|jazz funk|ragtime|latin jazz|easy listening|dancehall|soft rock|pop rock|jazz|big band|disco|soundtrack|blues|oldies|latin|classic rock|classical|pop|rock|instrumental|lounge|orchestral pop|percussion|folk|world|country|comedy|poetry|bebop|funk soul|rusbeh|venezuela|children music|bossa nova|story,0.323634923325,,0.0,168.88118,199.89400000000001,152.66499999999999
The Allies,Bewitched_ Bothered & Bewildered,0,ccm|turnablism|illbient|pop rock|hip hop|rock|ska|new wave|indie rock|classic rock|gospel|adult contemporary|contemporary christian|indie|punk|alternative|metal|underground hip hop|pop|hardcore|washington|r&b,0.349161154799,,0.0,213.13261,72.777000000000001,213.13300000000001
R.E.M.,Stumble,1982,jangle pop|alternative rock|rock|pop|alternative|college rock|garage rock|california|classic rock|punk|jazz|guitar|soundtrack|experimental|folk|indie rock|psychedelic|melodic|political|indie|party music|instrumental|country|alternative pop|modern|melancholia|jangle|soul|soft|college|electronic|gothic|beautiful|noise,0.623835200923,alternative rock|rock|américain|usa|jangle pop|rock and indie|pop rock|georgia|athens|american|college rock,0.0,340.11383000000001,153.833,328.37700000000001
Big Rich featuring Devo,Taking Over,0,hyphy|gangster rap|neo soul|hip hop|rap|spiritual|san francisco bay area|west coast rap|christian|urban|contemporary gospel|west coast|san francisco|new jersey|r&b,0.407364773711,,0.0,254.58893,86.611999999999995,254.589
Bon Jovi,Till We Ain't Strangers Anymore,2008,rock|pop|metal|arena rock|ballad|hard rock|soundtrack|acoustic|classic|song writer|cover|party music|vocal|heavy|beautiful|original|piano|adult contemporary|guitar|united states|80s,0.71889145567,hard rock|rock|glam metal|metal|american|pop and chart,0.0,318.09260999999998,141.22300000000001,313.10399999999998
Dale Russ / Finn MacGinty,Reels: Old Joes / the Cliffs of Moher / the clips of mohair / the slightly less-well-informed maid,0,lullaby|irish|traditional|humorous|guitar,0.0,,0.0,261.85097999999999,121.733,251.87799999999999
Sheek Louch,Die Slow,2009,gangster rap|neo soul|game|hip hop|east coast hip hop|rap|east coast rap|hardcore rap|chill-out|r&b|new york|east coast|american|soul|new york city|gangsta|brooklyn|rap us|massachusetts|street music|new york rap,0.449818173111,,0.0,64.652609999999996,157.696,57.789000000000001
Papp'os Blues,El Hombre De La Valija (Rock),0,blues-rock|rock 'n roll|argentine rock|blues|psychedelic rock|classic rock|hard rock|rock|70s|psychedelic|guitar|latin|argentina|latin pop|experimental|rock argentina|intense|rock nacional|argentinian|africa|magnolia,0.403689030121,,0.0,418.45506,132.636,389.83999999999997
Najoua Belyzel,Ma vie n'est pas la tienne (album),2009,europop|eurodance|electropop|brutal death metal|pop rock|dance|female vocalist|electronic|singer-songwriter|house|electronica|french|pop|french pop|melancholia|belgium|indie|alternative|female|female vocals|00s|germany|beautiful|sexy|sad|francophone|solo|european|singer|solo artist|chanson francaise|morocco|french touch|gaycore|artiste francais|alternative rock,0.0,,0.0,237.71383,112.965,229.959
